node_id,n_edges_in_component,component_rank,component_id,component_n_nodes,component_n_edges,p_nbs_size,p_nbs_mass
318,2,8,10,3,2,0.9530469530469532,0.926073926073926
10,1,8,10,3,2,0.9530469530469532,0.926073926073926
97,1,8,10,3,2,0.9530469530469532,0.926073926073926
216,2,9,151,3,2,0.9530469530469532,0.8711288711288712
175,1,9,151,3,2,0.9530469530469532,0.8711288711288712
235,1,9,151,3,2,0.9530469530469532,0.8711288711288712
323,2,10,139,3,2,0.9530469530469532,0.9050949050949052
158,1,10,139,3,2,0.9530469530469532,0.9050949050949052
160,1,10,139,3,2,0.9530469530469532,0.9050949050949052
9,1,11,9,2,1,0.999000999000999,0.97002997002997
77,1,11,9,2,1,0.999000999000999,0.97002997002997
3,1,12,3,2,1,0.999000999000999,0.954045954045954
285,1,12,3,2,1,0.999000999000999,0.954045954045954
54,1,13,53,2,1,0.999000999000999,0.971028971028971
222,1,13,53,2,1,0.999000999000999,0.971028971028971
50,1,14,49,2,1,0.999000999000999,0.965034965034965
63,1,14,49,2,1,0.999000999000999,0.965034965034965
30,1,15,29,2,1,0.999000999000999,0.999000999000999
225,1,15,29,2,1,0.999000999000999,0.999000999000999
48,1,16,47,2,1,0.999000999000999,0.995004995004995
198,1,16,47,2,1,0.999000999000999,0.995004995004995
116,1,17,104,2,1,0.999000999000999,0.982017982017982
287,1,17,104,2,1,0.999000999000999,0.982017982017982
91,1,18,85,2,1,0.999000999000999,0.961038961038961
278,1,18,85,2,1,0.999000999000999,0.961038961038961
147,1,19,132,2,1,0.999000999000999,0.993006993006993
186,1,19,132,2,1,0.999000999000999,0.993006993006993
74,1,20,72,2,1,0.999000999000999,0.992007992007992
238,1,20,72,2,1,0.999000999000999,0.992007992007992
156,1,21,137,2,1,0.999000999000999,0.995004995004995
189,1,21,137,2,1,0.999000999000999,0.995004995004995
167,1,22,145,2,1,0.999000999000999,0.995004995004995
300,1,22,145,2,1,0.999000999000999,0.995004995004995
168,1,23,146,2,1,0.999000999000999,0.957042957042957
195,1,23,146,2,1,0.999000999000999,0.957042957042957
173,1,24,150,2,1,0.999000999000999,0.993006993006993
203,1,24,150,2,1,0.999000999000999,0.993006993006993
181,1,25,155,2,1,0.999000999000999,0.992007992007992
303,1,25,155,2,1,0.999000999000999,0.992007992007992
182,1,26,156,2,1,0.999000999000999,0.995004995004995
320,1,26,156,2,1,0.999000999000999,0.995004995004995
239,1,27,193,2,1,0.999000999000999,0.986013986013986
254,1,27,193,2,1,0.999000999000999,0.986013986013986
274,1,28,225,2,1,0.999000999000999,0.996003996003996
302,1,28,225,2,1,0.999000999000999,0.996003996003996
