Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months
220307_13,VF040522_103959,day1_trial6,Chamber 2,,,White House Light,17,298.3,99.43,99.43,0.36,0,40,APOE22HN,female ,Sedentary,Control,28,19.47
220307_14,VF040522_104831,day1_trial7,Chamber1,,,White House Light,9,297.1,99.03,99.03,0.27,0,147,APOE33HN,male,Sedentary,Control,33,21.33
220307_15,VF040522_104831,day1_trial7,Chamber 2,,,White House Light,46,289.367,96.46,96.46,0.98,0,114,APOE33HN,male,Sedentary,Control,32,21.33
220307_16,VF040522_105647,day1_trial8,Chamber1,,,White House Light,17,292.667,97.56,97.56,1.41,0,447,APOE33HN,male,Sedentary,Control,33,21.33
220307_17,VF040522_105647,day1_trial8,Chamber 2,,,White House Light,138,208.5,69.5,69.5,8.23,0,595,APOE33HN,male,Sedentary,Control,32,21.33
221101_1,VF112222_095558,Day1_Trial1,Chamber1,,,White House Light,7,296.4,98.8,98.8,0.34,0,119,APOE44,male,Sedentary,HFD,44,13.13333333
221101_2,VF112222_095558,Day1_Trial1,Chamber2,,,White House Light,120,254.2,84.73,84.73,4.31,0,2649,APOE44,male,Sedentary,HFD,41,13.13333333
221101_3,VF112222_104858,Day1_Trial2,Chamber1,,,White House Light,17,296.133,98.71,98.71,0.44,0,87,APOE44HN,male,Sedentary,HFD,42,24.83333333
221101_4,VF112222_104858,Day1_Trial2,Chamber2,,,White House Light,90,261.233,87.08,87.08,4.16,0,747,APOE44HN,female,Sedentary,HFD,38,24.83333333
221101_5,VF112222_105815,Day1_Trial3,Chamber1,,,White House Light,50,274.5,91.5,91.5,4.34,0,401,APOE44HN,male,Sedentary,Control,,16.8
221101_6,VF112222_105815,Day1_Trial3,Chamber2,,,White House Light,70,282.4,94.13,94.13,3.57,0,16989,APOE44HN,male,Sedentary,Control,,16.8
221101_7,VF112222_110716,Day1_Trial4,Chamber1,,,White House Light,26,291.333,97.11,97.11,0.91,0,184,APOE44,female,Exercise,Control,,19.4
221101_8,VF112222_110716,Day1_Trial4,Chamber2,,,White House Light,100,246.1,82.03,82.03,4.59,0,154,APOE44,female,Exercise,Control,,19.4
221101_9,VF112222_111545,Day1_Trial5,Chamber1,,,White House Light,13,294.733,98.24,98.24,0.48,0,100,APOE44,female,Exercise,Control,,19.4
221101_10,VF112222_111545,Day1_Trial5,Chamber2,,,White House Light,38,286,95.33,95.33,1.49,0,825,APOE44,male,Exercise,Control,,19.4
221101_11,VF112222_112524,Day1_Trial6,Chamber1,,,White House Light,15,294.533,98.18,98.18,0.6,0,169,APOE44,male,Exercise,Control,,19.4
