Animal ID,context_memory_day1_freezing,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months,day0_sound1_freezing,day0_sound2_freezing,day0_sound3_freezing,learning_slope_sound1_to_3,learning_intercept,learning_r,learning_p,learning_mean_sound1_to_3,learning_auc_sound1_to_3,learning_delta_sound3_minus_sound1,day2_acclimation_freezing,day2_cstone_freezing,day2_exploration_freezing,cue_memory_delta_cstone_minus_acclimation,cue_memory_delta_cstone_minus_exploration,baseline_day0_sound1_freezing,baseline_day2_acclimation_freezing,PHENO_learning,PHENO_context_memory,PHENO_cue_memory,PHENO_cue_memory_vs_exploration
210906_7,86.56,APOE22HN,female,Sedentary,Control,25.7,13.83,5.33,10.67,70.0,32.334999999999994,-36.003333333333316,0.9008179233488522,0.28593568051704565,28.666666666666668,48.335,64.67,10.63,22.77,1.88,12.139999999999999,20.89,5.33,10.63,32.334999999999994,86.56,12.139999999999999,20.89
210906_8,80.39,APOE22HN,female,Sedentary,Control,27.8,13.83,0.0,8.44,68.11,34.055,-42.593333333333334,0.917244238365982,0.2608169291853871,25.516666666666666,42.495,68.11,4.91,25.66,3.73,20.75,21.93,0.0,4.91,34.055,80.39,20.75,21.93
210906_9,94.38,APOE44,female ,Sedentary,HFD,37.3,14.5,20.56,31.78,64.78,22.11,-5.18,0.9618656301788588,0.17637754292168092,39.04,74.45,44.22,14.57,35.95,7.3,21.380000000000003,28.650000000000002,20.56,14.57,22.11,94.38,21.380000000000003,28.650000000000002
211004_1,99.78,APOE33,male ,Sedentary,Control,37.1,13.17,9.0,54.0,83.78,37.39,-25.85333333333333,0.9931665860463859,0.07446661380849248,48.92666666666667,100.39,74.78,32.83,37.31,3.62,4.480000000000004,33.690000000000005,9.0,32.83,37.39,99.78,4.480000000000004,33.690000000000005
211004_10,95.04,APOE44HN,male,Sedentary,HFD,40.7,14.07,0.0,1.11,8.0,4.0,-4.963333333333333,0.9229232063616778,0.25158614451496303,3.0366666666666666,5.109999999999999,8.0,1.15,11.67,1.63,10.52,10.04,0.0,1.15,4.0,95.04,10.52,10.04
211004_11,89.97,APOE44HN,male ,Sedentary,HFD,43.5,14.07,43.56,39.56,73.33,14.884999999999998,22.380000000000003,0.8067255380140433,0.4024752189309779,52.15,98.005,29.769999999999996,15.89,37.99,5.67,22.1,32.32,43.56,15.89,14.884999999999998,89.97,22.1,32.32
211004_12,96.41,APOE44HN,male ,Sedentary,HFD,45.3,14.07,1.44,15.89,74.56,36.56,-42.49000000000001,0.9441059715980994,0.21385615436284935,30.63,53.89,73.12,6.93,32.53,5.1,25.6,27.43,1.44,6.93,36.56,96.41,25.6,27.43
211004_13,99.78,APOE44HN,female ,Sedentary,Control,25.6,14.07,19.0,45.89,57.89,19.445,2.036666666666669,0.9764282475306556,0.13849938905405676,40.92666666666667,84.33500000000001,38.89,6.2,27.31,3.67,21.11,23.64,19.0,6.2,19.445,99.78,21.11,23.64
211004_14,87.74,APOE44HN,female ,Sedentary,Control,27.4,14.07,0.0,16.78,8.67,4.335,-0.18666666666666565,0.5165906473680021,0.6544018282692454,8.483333333333334,21.115000000000002,8.67,5.19,23.35,2.34,18.16,21.01,0.0,5.19,4.335,87.74,18.16,21.01
211004_15,100.0,APOE44HN,male,Sedentary,HFD,40.7,14.07,5.22,51.44,95.11,44.945,-39.300000000000004,0.9998659030233285,0.010425801866389943,50.589999999999996,101.605,89.89,20.31,44.94,4.91,24.63,40.03,5.22,20.31,44.945,100.0,24.63,40.03
211004_16,85.14,APOE44HN,male ,Sedentary,HFD,43.5,14.07,0.0,15.11,54.67,27.335,-31.41,0.9682437753814449,0.1608664951538825,23.26,42.445,54.67,2.41,13.27,1.59,10.86,11.68,0.0,2.41,27.335,85.14,10.86,11.68
211004_17,95.91,APOE44HN,male ,Sedentary,HFD,45.3,14.07,27.11,64.56,74.56,23.725,7.960000000000001,0.9484936395586349,0.2052142363457035,55.410000000000004,115.39500000000001,47.45,9.87,35.95,4.81,26.080000000000005,31.140000000000004,27.11,9.87,23.725,95.91,26.080000000000005,31.140000000000004
