Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Genotype,Sex,Lifestyle,Diet,Weight,Age_Months,Connectome_File
220606_6,VF070622_100826,day1_trial3,Chamber 2,,,White House Light,118,190.933,63.64,63.64,12.15,0,425,APOE44HN,female,Sedentary,Control,26,20.6,FC_A22060606.csv
220808_6,VF083022_102357,Day1_Trial_3,Chamber2,,,White House Light,38,288.1,96.03,96.03,1.25,0,267,APOE22HN,female,Sedentary,Control,27,21.5,FC_A22080806.csv
220808_7,VF083022_103324,Day1_Trial_4,Chamber1,,,White House Light,33,280.667,93.56,93.56,3.04,0,363,APOE22HN,female,Sedentary,Control,24,21.5,FC_A22080807.csv
220808_8,VF083022_103324,Day1_Trial_4,Chamber2,,,White House Light,81,269,89.67,89.67,3.8,0,330,APOE22HN,female,Sedentary,Control,28,21.5,FC_A22080808.csv
220808_9,VF083022_104229,Day1_Trial_5,Chamber1,,,White House Light,13,297.433,99.14,99.14,0.27,0,70,APOE22HN,female,Sedentary,HFD,41,19.3,FC_A22080809.csv
220808_10,VF083022_104229,Day1_Trial_5,Chamber2,,,White House Light,49,295.233,98.41,98.41,0.53,0,65,APOE22HN,female,Sedentary,HFD,25,19.1,FC_A22080810.csv
220808_11,VF083022_105152,Day1_Trial_6,Chamber1,,,White House Light,15,297.8,99.27,99.27,0.39,0,76,APOE22HN,female,Sedentary,HFD,39,19.1,FC_A22080811.csv
220808_12,VF083022_105152,Day1_Trial_6,Chamber2,,,White House Light,12,299.267,99.76,99.76,0.11,0,49,APOE22HN,female,Sedentary,HFD,32,19.1,FC_A22080812.csv
220808_13,VF083022_110113,Day1_Trial_7,Chamber1,,,White House Light,3,299.867,99.96,99.96,0.09,0,83,APOE22HN,male,Sedentary,HFD,37,20.4,FC_A22080813.csv
220808_14,VF083022_110113,Day1_Trial_7,Chamber2,,,White House Light,22,296.867,98.96,98.96,0.56,0,186,APOE22HN,male,Sedentary,HFD,49,20.4,FC_A22080814.csv
220808_15,VF083022_111037,Day1_Trial_8,Chamber1,,,White House Light,32,293,97.67,97.67,1.07,0,168,APOE22HN,male,Sedentary,HFD,47,20.4,FC_A22080815.csv
220808_16,VF083022_111037,Day1_Trial_8,Chamber2,,,White House Light,29,296.533,98.84,98.84,0.26,0,51,APOE22HN,male,Sedentary,HFD,38,20.4,FC_A22080816.csv
220808_17,VF083022_111942,Day1_Trial_9,Chamber1,,,White House Light,9,299.733,99.91,99.91,0.12,0,25,APOE22HN,male,Sedentary,HFD,46,20.4,FC_A22080817.csv
220404_1,VF050322_095037,day1_trial1,Chamber1,,,White House Light,26,274.267,91.42,91.42,6.47,0,501,APOE22,female ,Sedentary,HFD,30,14.8,FC_A22040401.csv
220404_2,VF050322_095037,day1_trial1,Chamber 2,,,White House Light,65,257.067,85.69,85.69,5.99,0,677,APOE22,female ,Sedentary,HFD,37,14.8,FC_A22040402.csv
220404_3,VF050322_100007,day1_trial2,Chamber1,,,White House Light,28,289.767,96.59,96.59,0.92,0,82,APOE22,female ,Sedentary,HFD,40,14.8,FC_A22040403.csv
220404_4,VF050322_100007,day1_trial2,Chamber 2,,,White House Light,41,251.8,83.93,83.93,8.78,0,494,APOE22,female ,Sedentary,HFD,39,14.8,FC_A22040404.csv
220404_5,VF050322_100850,day1_trial3,Chamber1,,,White House Light,17,297.067,99.02,99.02,0.34,0,81,APOE22,female ,Sedentary,HFD,29,12.26666667,FC_A22040405.csv
220404_6,VF050322_100850,day1_trial3,Chamber 2,,,White House Light,26,292.967,97.66,97.66,0.91,0,311,APOE22,male,Sedentary,HFD,43,14.8,FC_A22040406.csv
220404_7,VF050322_101641,day1_trial4,Chamber1,,,White House Light,12,295.667,98.56,98.56,0.65,0,170,APOE22,male,Sedentary,HFD,51,14.8,FC_A22040407.csv
220404_8,VF050322_101641,day1_trial4,Chamber 2,,,White House Light,32,274.667,91.56,91.56,3.1,0,277,APOE22,male,Sedentary,HFD,41,14.4,FC_A22040408.csv
220404_9,VF050322_102458,day1_trial5,Chamber1,,,White House Light,95,236,78.67,78.67,11.15,0,2059,APOE22,male,Sedentary,HFD,39,14.4,FC_A22040409.csv
220404_10,VF050322_102458,day1_trial5,Chamber 2,,,White House Light,66,248.967,82.99,82.99,7.59,0,575,APOE22,male,Sedentary,HFD,48,14.4,FC_A22040410.csv
220404_11,VF050322_103253,day1_trial6,Chamber1,,,White House Light,11,291.967,97.32,97.32,1.18,0,225,APOE22HN,male,Sedentary,Control,32,21.23333333,FC_A22040411.csv
220404_13,VF050322_104053,day1_trial7,Chamber1,,,White House Light,52,263.567,87.86,87.86,7.65,0,428,APOE22HN,male,Sedentary,Control,35,21.23333333,FC_A22040413.csv
220307_11,VF040522_103124,day1_trial5,Chamber 2,,,White House Light,58,276.9,92.3,92.3,2.2,0,270,APOE22HN,female ,Sedentary,Control,21,19.47,FC_A22030711.csv
220307_12,VF040522_103959,day1_trial6,Chamber1,,,White House Light,25,287.8,95.93,95.93,1.93,0,293,APOE22HN,female ,Sedentary,Control,26,19.47,FC_A22030712.csv
220307_13,VF040522_103959,day1_trial6,Chamber 2,,,White House Light,17,298.3,99.43,99.43,0.36,0,40,APOE22HN,female ,Sedentary,Control,28,19.47,FC_A22030713.csv
221101_1,VF112222_095558,Day1_Trial1,Chamber1,,,White House Light,7,296.4,98.8,98.8,0.34,0,119,APOE44,male,Sedentary,HFD,44,13.13333333,FC_A22110101.csv
221101_2,VF112222_095558,Day1_Trial1,Chamber2,,,White House Light,120,254.2,84.73,84.73,4.31,0,2649,APOE44,male,Sedentary,HFD,41,13.13333333,FC_A22110102.csv
221101_4,VF112222_104858,Day1_Trial2,Chamber2,,,White House Light,90,261.233,87.08,87.08,4.16,0,747,APOE44HN,female,Sedentary,HFD,38,24.83333333,FC_A22110104.csv
221101_5,VF112222_105815,Day1_Trial3,Chamber1,,,White House Light,50,274.5,91.5,91.5,4.34,0,401,APOE44HN,male,Sedentary,Control,,16.8,FC_A22110105.csv
221101_6,VF112222_105815,Day1_Trial3,Chamber2,,,White House Light,70,282.4,94.13,94.13,3.57,0,16989,APOE44HN,male,Sedentary,Control,,16.8,FC_A22110106.csv
221101_7,VF112222_110716,Day1_Trial4,Chamber1,,,White House Light,26,291.333,97.11,97.11,0.91,0,184,APOE44,female,Exercise,Control,,19.4,FC_A22110107.csv
221101_8,VF112222_110716,Day1_Trial4,Chamber2,,,White House Light,100,246.1,82.03,82.03,4.59,0,154,APOE44,female,Exercise,Control,,19.4,FC_A22110108.csv
221101_9,VF112222_111545,Day1_Trial5,Chamber1,,,White House Light,13,294.733,98.24,98.24,0.48,0,100,APOE44,female,Exercise,Control,,19.4,FC_A22110109.csv
221101_10,VF112222_111545,Day1_Trial5,Chamber2,,,White House Light,38,286,95.33,95.33,1.49,0,825,APOE44,male,Exercise,Control,,19.4,FC_A22110110.csv
221101_11,VF112222_112524,Day1_Trial6,Chamber1,,,White House Light,15,294.533,98.18,98.18,0.6,0,169,APOE44,male,Exercise,Control,,19.4,FC_A22110111.csv
221101_12,VF112222_112524,Day1_Trial6,Chamber2,,,White House Light,94,277,92.33,92.33,3.02,0,332,APOE44,male,Exercise,Control,,19.4,FC_A22110112.csv
221101_19,VF112222_120205,Day1_Trial10,Chamber1,,,White House Light,19,291.5,97.17,97.17,1.26,0,275,APOE22HN,male,Sedentary,Control,,15.66666667,FC_A22110119.csv
221101_20,VF112222_120205,Day1_Trial10,Chamber2,,,White House Light,158,155.633,51.88,51.88,16.57,0,709,APOE44HN,female,Exercise,Control,28,18.1,FC_A22110120.csv
221101_22,VF112222_121210,Day1_Trial11,Chamber2,,,White House Light,124,219.2,73.07,73.07,7.83,0,297,APOE44HN,female,Exercise,Control,16,18.1,FC_A22110122.csv
221101_23,VF112222_122107,Day1_Trial12,Chamber1,,,White House Light,3,299.7,99.9,99.9,0.04,0,72,APOE44HN,female,Exercise,Control,27,18.1,FC_A22110123.csv
221101_24,VF112222_122107,Day1_Trial12,Chamber2,,,White House Light,106,259.967,86.66,86.66,3.5,0,245,APOE44HN,female,Exercise,Control,23,18.1,FC_A22110124.csv
220905_1,VF092722_092602,Day1_Trial1,Chamber1,,,White House Light,31,270.867,90.29,90.29,1.96,0,162,APOE44,male,Sedentary,HFD,45,20.2,FC_A22090501.csv
220905_2,VF092722_092602,Day1_Trial1,Chamber2,,,White House Light,49,201.667,67.22,67.22,10.54,0,919,APOE44,female,Sedentary,HFD,37,20.2,FC_A22090502.csv
220905_3,VF092722_095352,Day1_Trial2,Chamber1,,,White House Light,20,279.1,93.03,93.03,1.89,0,248,APOE44,male,Sedentary,HFD,36,20.2,FC_A22090503.csv
220905_4,VF092722_095352,Day1_Trial2,Chamber2,,,White House Light,22,292.7,97.57,97.57,0.85,0,64,APOE33HN,male,Exercise,Control,34,18.06666667,FC_A22090504.csv
220905_5,VF092722_100340,Day1_Trial3,Chamber1,,,White House Light,12,288.033,96.01,96.01,0.97,0,204,APOE33HN,male,Exercise,Control,32,18.06666667,FC_A22090505.csv
220905_6,VF092722_100340,Day1_Trial3,Chamber2,,,White House Light,40,230.733,76.91,76.91,6.3,0,386,APOE33HN,male,Exercise,Control,33,18.06666667,FC_A22090506.csv
220905_7,VF092722_101235,Day1_Trial4,Chamber1,,,White House Light,49,252.3,84.1,84.1,3.71,0,228,APOE44,male,Sedentary,HFD,45,20.2,FC_A22090507.csv
220905_8,VF092722_101235,Day1_Trial4,Chamber2,,,White House Light,21,281.033,93.68,93.68,1.78,0,348,APOE44,female,Sedentary,HFD,37,20.2,FC_A22090508.csv
220905_9,VF092722_102132,Day1_Trial5,Chamber1,,,White House Light,5,298.1,99.37,99.37,0.26,0,81,APOE44,male,Sedentary,HFD,36,20.2,FC_A22090509.csv
220905_10,VF092722_102132,Day1_Trial5,Chamber2,,,White House Light,27,290.167,96.72,96.72,0.75,0,42,APOE22HN,male,Sedentary,Control,32,20.4,FC_A22090510.csv
220905_11,VF092722_103056,Day1_Trial6,Chamber1,,,White House Light,5,297.967,99.32,99.32,0.18,0,34,APOE22HN,male,Sedentary,Control,32,20.4,FC_A22090511.csv
220905_12,VF092722_103056,Day1_Trial6,Chamber2,,,White House Light,20,285.633,95.21,95.21,0.88,0,80,APOE22HN,male,Sedentary,Control,33,20.4,FC_A22090512.csv
220905_13,VF092722_104059,Day1_Trial7,Chamber1,,,White House Light,7,298.467,99.49,99.49,0.15,0,64,APOE33,female,Exercise,Control,,17.5,FC_A22090513.csv
220905_14,VF092722_104059,Day1_Trial7,Chamber2,,,White House Light,13,292.467,97.49,97.49,0.71,0,266,APOE33,female,Exercise,Control,,17.76666667,FC_A22090514.csv
220905_15,VF092722_105015,Day1_Trial8,Chamber1,,,White House Light,12,294.4,98.13,98.13,0.35,0,82,APOE33,female,Exercise,Control,,17.76666667,FC_A22090515.csv
220905_16,VF092722_105015,Day1_Trial8,Chamber2,,,White House Light,15,294.033,98.01,98.01,0.36,0,43,APOE33,female,Exercise,Control,,17.5,FC_A22090516.csv
220905_17,VF092722_105958,Day1_Trial9,Chamber1,,,White House Light,6,295.333,98.44,98.44,0.39,0,53,APOE33,female,Exercise,Control,,17.5,FC_A22090517.csv
220905_18,VF092722_105958,Day1_Trial9,Chamber2,,,White House Light,37,275.367,91.79,91.79,2.36,0,150,APOE44HN,male,Sedentary,Control,,18.26666667,FC_A22090518.csv
220905_19,VF092722_110913,Day1_Trial10,Chamber1,,,White House Light,19,280.867,93.62,93.62,1.23,0,77,APOE44HN,male,Sedentary,Control,,18.26666667,FC_A22090519.csv
220905_20,VF092722_110913,Day1_Trial10,Chamber2,,,White House Light,57,207.5,69.17,69.17,10.23,0,517,APOE44HN,male,Sedentary,Control,,18.2,FC_A22090520.csv
220905_21,VF092722_111824,Day1_Trial11,Chamber1,,,White House Light,3,299,99.67,99.67,0.05,0,34,APOE44,female,Exercise,Control,,17.5,FC_A22090521.csv
220905_22,VF092722_111824,Day1_Trial11,Chamber2,,,White House Light,31,264.533,88.18,88.18,2.72,0,327,APOE44,female,Exercise,Control,,17.5,FC_A22090522.csv
220905_23,VF092722_112727,Day1_Trial12,Chamber1,,,White House Light,11,295.333,98.44,98.44,0.51,0,112,APOE44,male,Exercise,Control,,17.3,FC_A22090523.csv
220905_24,VF092722_112727,Day1_Trial12,Chamber2,,,White House Light,20,279.3,93.1,93.1,1.39,0,265,APOE44,male,Exercise,Control,,17.3,FC_A22090524.csv
220905_25,VF092722_113619,Day1_Trial13,Chamber1,,,White House Light,13,290.6,96.87,96.87,1.49,0,244,APOE44,male,Exercise,Control,,17.3,FC_A22090525.csv
220905_26,VF092722_113619,Day1_Trial13,Chamber2,,,White House Light,31,271.533,90.51,90.51,1.7,0,155,APOE33HN,female,Exercise,Control,,18.03333333,FC_A22090526.csv
220905_27,VF092722_114529,Day1_Trial14,Chamber1,,,White House Light,15,293.767,97.92,97.92,0.78,0,223,APOE33HN,female,Exercise,Control,,18.03333333,FC_A22090527.csv
220905_28,VF092722_114529,Day1_Trial14,Chamber2,,,White House Light,62,239.733,79.91,79.91,4.86,0,260,APOE33HN,female,Exercise,Control,,18.03333333,FC_A22090528.csv
230508_1,VF053123_105857,Day1_Trial1,Chamber1,,,White House Light,16,292.667,97.56,97.56,1.04,0,287,KO,female,Sedentary,HFD,30,15.46666667,FC_A23050801.csv
230508_2,VF053123_105857,Day1_Trial1,Chamber2,,,White House Light,41,289.6,96.53,96.53,0.82,0,175,KO,female,Sedentary,HFD,30,15.46666667,FC_A23050802.csv
230508_3,VF053123_110821,Day1_Trial2,Chamber1,,,White House Light,2,299.967,99.99,99.99,0.01,0,35,KO,female,Sedentary,HFD,28,15.46666667,FC_A23050803.csv
230508_4,VF053123_110821,Day1_Trial2,Chamber2,,,White House Light,59,287.867,95.96,95.96,1.08,0,163,KO,female,Sedentary,HFD,26,15.6,FC_A23050804.csv
230508_5,VF053123_111629,Day1_Trial3,Chamber1,,,White House Light,29,290.333,96.78,96.78,0.97,0,216,KO,female,Sedentary,HFD,32,15.6,FC_A23050805.csv
230508_6,VF053123_111629,Day1_Trial3,Chamber2,,,White House Light,34,296.467,98.82,98.82,0.53,0,221,KO,male,Sedentary,Control,32,19.73333333,FC_A23050806.csv
230508_7,VF053123_112448,Day1_Trial4,Chamber1,,,White House Light,48,270.533,90.18,90.18,3.84,0,411,KO,male,Sedentary,Control,31,19.73333333,FC_A23050807.csv
230508_8,VF053123_112448,Day1_Trial4,Chamber2,,,White House Light,21,296.867,98.96,98.96,0.31,0,183,KO,male,Sedentary,HFD,39,19.16666667,FC_A23050808.csv
230508_9,VF053123_113303,Day1_Trial5,Chamber1,,,White House Light,13,293.5,97.83,97.83,0.65,0,119,KO,male,Sedentary,HFD,36,19.16666667,FC_A23050809.csv
230508_10,VF053123_113303,Day1_Trial5,Chamber2,,,White House Light,75,273.9,91.3,91.3,2.9,0,452,KO,male,Sedentary,HFD,32,19.16666667,FC_A23050810.csv
230508_11,VF053123_114116,Day1_Trial6,Chamber1,,,White House Light,60,249.567,83.19,83.19,7.36,0,324,KO,female,Sedentary,HFD,27,19.43333333,FC_A23050811.csv
230508_13,VF053123_114945,Day1_Trial7,Chamber1,,,White House Light,12,295,98.33,98.33,0.8,0,247,KO,female,Sedentary,HFD,34,19.43333333,FC_A23050813.csv
230508_15,VF053123_115800,Day1_Trial8,Chamber1,,,White House Light,39,281.867,93.96,93.96,1.93,0,120,KO,female,Sedentary,HFD,27,19.03333333,FC_A23050815.csv
230508_16,VF053123_115800,Day1_Trial8,Chamber2,,,White House Light,64,288.433,96.14,96.14,0.91,0,279,KO,male,Sedentary,HFD,30,19.03333333,FC_A23050816.csv
230508_17,VF053123_120704,Day1_Trial9,Chamber1,,,White House Light,19,282.533,94.18,94.18,2.16,0,618,APOE44HN,male,Sedentary,Control,31,19.06666667,FC_A23050817.csv
230508_18,VF053123_120704,Day1_Trial9,Chamber2,,,White House Light,35,294.4,98.13,98.13,0.5,0,132,APOE44HN,male,Sedentary,Control,28,19.06666667,FC_A23050818.csv
230508_19,VF053123_121524,Day1_Trial10,Chamber1,,,White House Light,8,297.967,99.32,99.32,0.18,0,54,APOE44HN,male,Sedentary,Control,30,18.23333333,FC_A23050819.csv
230410_1,VF050223_100533,Day1_Trial1,Chamber1,,,White House Light,28,287.8,95.93,95.93,1.37,0,121,APOE22,male,Sedentary,HFD,36,19.76666667,FC_A23041001.csv
230410_2,VF050223_100533,Day1_Trial1,Chamber2,,,White House Light,35,292.367,97.46,97.46,0.65,0,163,APOE33,male,Sedentary,HFD,42,19.4,FC_A23041002.csv
230410_3,VF050223_101453,Day1_Trial2,Chamber1,,,White House Light,8,297.533,99.18,99.18,0.27,0,113,APOE33,female,Sedentary,HFD,41,19.4,FC_A23041003.csv
230410_4,VF050223_101453,Day1_Trial2,Chamber2,,,White House Light,62,292.567,97.52,97.52,0.7,0,101,APOE33,female,Sedentary,HFD,28,19.4,FC_A23041004.csv
230410_5,VF050223_102315,Day1_Trial3,Chamber1,,,White House Light,57,252.1,84.03,84.03,8.1,0,389,APOE33,female,Sedentary,HFD,43,18.26666667,FC_A23041005.csv
230410_6,VF050223_102315,Day1_Trial3,Chamber2,,,White House Light,22,293.267,97.76,97.76,0.34,0,90,APOE33,female,Sedentary,HFD,30,18.26666667,FC_A23041006.csv
230410_7,VF050223_103121,Day1_Trial4,Chamber1,,,White House Light,14,294.4,98.13,98.13,0.59,0,146,APOE33,female,Sedentary,HFD,39,18.26666667,FC_A23041007.csv
230410_8,VF050223_103121,Day1_Trial4,Chamber2,,,White House Light,50,292.1,97.37,97.37,0.92,0,164,APOE22HN,male,Sedentary,HFD,34,21.33333333,FC_A23041008.csv
230410_9,VF050223_104001,Day1_Trial5,Chamber1,,,White House Light,14,294.833,98.28,98.28,0.49,0,113,APOE22HN,female,Sedentary,HFD,52,19.7,FC_A23041009.csv
230410_10,VF050223_104001,Day1_Trial5,Chamber2,,,White House Light,34,296,98.67,98.67,0.27,0,127,APOE33HN,male,Sedentary,HFD,,22,FC_A23041010.csv
230410_11,VF050223_104833,Day1_Trial6,Chamber1,,,White House Light,4,299.467,99.82,99.82,0.06,0,45,APOE33HN,male,Sedentary,HFD,,22,FC_A23041011.csv
230410_12,VF050223_104833,Day1_Trial6,Chamber2,,,White House Light,37,297.167,99.06,99.06,0.31,0,89,APOE33HN,male,Sedentary,HFD,43,22,FC_A23041012.csv
230410_13,VF050223_105646,Day1_Trial7,Chamber1,,,White House Light,11,294.233,98.08,98.08,2.63,0,1574,APOE33HN,male,Sedentary,HFD,40,22,FC_A23041013.csv
230410_15,VF050223_110448,Day1_Trial8,Chamber1,,,White House Light,30,286.933,95.64,95.64,1.3,0,181,KO,female,Sedentary,Control,,19.36666667,FC_A23041015.csv
230410_17,VF050223_111339,Day1_Trial9,Chamber1,,,White House Light,18,288.6,96.2,96.2,1.68,0,262,KO,female,Sedentary,Control,28,19.36666667,FC_A23041017.csv
230410_18,VF050223_111339,Day1_Trial9,Chamber2,,,White House Light,35,290.367,96.79,96.79,0.95,0,368,KO,female,Sedentary,Control,28,19.36666667,FC_A23041018.csv
230410_19,VF050223_112211,Day1_Trial10,Chamber1,,,White House Light,1,300,100,100,0,0,1,KO,male,Sedentary,Control,33,19.36666667,FC_A23041019.csv
230410_20,VF050223_112211,Day1_Trial10,Chamber2,,,White House Light,29,296.033,98.68,98.68,0.3,0,77,KO,male,Sedentary,Control,33,19.36666667,FC_A23041020.csv
230313_1,VF040423_103556,Day1_Trial1,Chamber1,,,White House Light,2,299.633,99.88,99.88,0.03,0,53,APOE22,male,Exercise,Control,30,17.66666667,FC_A23031301.csv
230313_2,VF040423_103556,Day1_Trial1,Chamber2,,,White House Light,67,256.433,85.48,85.48,3.41,0,184,APOE22,male,Exercise,Control,31,17.66666667,FC_A23031302.csv
230313_3,VF040423_104536,Day1_Trial2,Chamber1,,,White House Light,62,276.367,92.12,92.12,3.16,0,288,APOE22,male,Exercise,Control,29,17.66666667,FC_A23031303.csv
230313_4,VF040423_104536,Day1_Trial2,Chamber2,,,White House Light,108,251.267,83.76,83.76,4.95,0,351,APOE22,female,Exercise,Control,19,17.66666667,FC_A23031304.csv
230313_5,VF040423_105527,Day1_Trial3,Chamber1,,,White House Light,2,299.933,99.98,99.98,0.02,0,25,APOE22,female,Exercise,Control,24,17.66666667,FC_A23031305.csv
230313_6,VF040423_105527,Day1_Trial3,Chamber2,,,White House Light,139,238.133,79.38,79.38,5.46,0,385,APOE22,female,Exercise,Control,22,17.66666667,FC_A23031306.csv
230313_7,VF040423_110356,Day1_Trial4,Chamber1,,,White House Light,16,296.833,98.94,98.94,0.31,0,75,APOE22,female,Exercise,Control,24,17.86666667,FC_A23031307.csv
230313_8,VF040423_110356,Day1_Trial4,Chamber2,,,White House Light,145,230.767,76.92,76.92,5.69,0,432,APOE22,female,Exercise,Control,24,17.86666667,FC_A23031308.csv
230605_1,VF062723_100935,Day1_Trial1,Chamber1,,,White House Light,28,286.833,95.61,95.61,1.31,0,163,APOE44HN,female,Sedentary,HFD,43,20.23333333,FC_A23060501.csv
230605_2,VF062723_100935,Day1_Trial1,Chamber2,,,White House Light,56,290.233,96.74,96.74,0.72,0,162,APOE44HN,female,Sedentary,HFD,39,19.4,FC_A23060502.csv
230605_3,VF062723_101910,Day1_Trial2,Chamber1,,,White House Light,5,299.2,99.73,99.73,0.07,0,54,APOE44HN,female,Sedentary,HFD,38,19.4,FC_A23060503.csv
230605_4,VF062723_101910,Day1_Trial2,Chamber2,,,White House Light,25,295.033,98.34,98.34,0.38,0,205,APOE44HN,female,Sedentary,HFD,47,19.16666667,FC_A23060504.csv
230605_5,VF062723_103618,Day1_Trial3,Chamber1,,,White House Light,22,293.767,97.92,97.92,0.7,0,181,APOE44HN,female,Sedentary,HFD,45,19.16666667,FC_A23060505.csv
230605_6,VF062723_103618,Day1_Trial3,Chamber2,,,White House Light,29,297.5,99.17,99.17,0.31,0,151,APOE44HN,male,Sedentary,HFD,47,19.4,FC_A23060506.csv
230605_7,VF062723_104610,Day1_Trial4,Chamber1,,,White House Light,13,298.3,99.43,99.43,0.25,0,57,APOE44HN,male,Sedentary,HFD,39,19.4,FC_A23060507.csv
230605_8,VF062723_104610,Day1_Trial4,Chamber2,,,White House Light,146,209.6,69.87,69.87,11.57,0,578,APOE33,male,Sedentary,HFD,40,19.43333333,FC_A23060508.csv
230605_10,VF062723_105554,Day1_Trial5,Chamber1,,,White House Light,17,295.8,98.6,98.6,0.34,0,76,APOE33,male,Sedentary,HFD,46,14.63333333,FC_A23060510.csv
230605_11,VF062723_105554,Day1_Trial5,Chamber2,,,White House Light,52,292.767,97.59,97.59,0.69,0,229,APOE33,male,Sedentary,HFD,51,19.56666667,FC_A23060511.csv
230605_12,VF062723_110354,Day1_Trial6,Chamber1,,,White House Light,4,299.167,99.72,99.72,0.07,0,25,APOE33,male,Sedentary,HFD,40,19.56666667,FC_A23060512.csv
230605_13,VF062723_110354,Day1_Trial6,Chamber2,,,White House Light,44,288.733,96.24,96.24,0.74,0,190,APOE33,male,Sedentary,HFD,39,19.56666667,FC_A23060513.csv
230605_14,VF062723_111208,Day1_Trial7,Chamber1,,,White House Light,3,299.2,99.73,99.73,0.05,0,39,APOE33,male,Sedentary,HFD,44,19.56666667,FC_A23060514.csv
230605_15,VF062723_111208,Day1_Trial7,Chamber2,,,White House Light,30,296.633,98.88,98.88,0.3,0,171,APOE33HN,female,Exercise,Control,23,14.6,FC_A23060515.csv
230605_16,VF062723_112043,Day1_Trial8,Chamber1,,,White House Light,44,285.433,95.14,95.14,1.92,0,407,APOE33HN,female,Exercise,Control,23,14.6,FC_A23060516.csv
230605_17,VF062723_112043,Day1_Trial8,Chamber2,,,White House Light,42,293.967,97.99,97.99,0.68,0,153,APOE22HN,female,Sedentary,Control,30,15.03333333,FC_A23060517.csv
230605_18,VF062723_112950,Day1_Trial9,Chamber1,,,White House Light,85,257.9,85.97,85.97,5.39,0,298,APOE22HN,female,Sedentary,Control,28,15.03333333,FC_A23060518.csv
230605_19,VF062723_112950,Day1_Trial9,Chamber2,,,White House Light,49,291,97,97,1.15,0,441,APOE22HN,female,Sedentary,Control,28,15.03333333,FC_A23060519.csv
230605_20,VF062723_113750,Day1_Trial10,Chamber1,,,White House Light,14,295,98.33,98.33,0.6,0,113,APOE22HN,female,Exercise,Control,23,14.73333333,FC_A23060520.csv
230605_21,VF062723_113750,Day1_Trial10,Chamber2,,,White House Light,74,280,93.33,93.33,1.58,0,325,APOE22HN,female,Exercise,Control,25,14.73333333,FC_A23060521.csv
230605_22,VF062723_114609,Day1_Trial11,Chamber1,,,White House Light,17,293,97.67,97.67,1.94,0,1918,APOE33,male,Exercise,Control,31,14.76666667,FC_A23060522.csv
